,Made Donation in March 2007
659,0.749399442453
276,0.753195753973
263,0.852967113345
303,0.728506803862
83,0.543605999339
500,0.956363979818
530,0.619187834742
244,0.907259531065
249,0.949979026959
728,0.948085103275
129,0.79567748105
534,0.877884179584
317,0.786130149714
401,0.852967113345
696,0.681144435741
192,0.871585101484
176,0.809329808429
571,0.75023920047
139,0.889399295647
423,0.686987604539
563,0.601121379799
56,0.526308524698
528,0.544838099135
101,0.852967113345
467,0.795906003885
382,0.57173405478
466,0.684636724969
294,0.907259531065
512,0.78761956206
659,0.749399442453
389,0.57173405478
487,0.875828515256
701,0.811114214602
419,0.798868742246
536,0.816195514763
240,0.749990203423
508,0.820217036512
515,0.907259531065
283,0.50510438488
650,0.852967113345
65,0.619187834742
228,0.795439308905
741,0.908280396961
297,0.62750396339
464,0.884592555897
63,0.811114214602
231,0.605911714139
28,0.877879850077
248,0.907259531065
357,0.833157193321
300,0.675690849816
726,0.58655666493
680,0.829305936517
520,0.526308524698
254,0.912243254264
582,0.831041849691
143,0.734568734046
98,0.579909888734
1,0.673029566084
221,0.698690450827
352,0.852967113345
64,0.870523224461
138,0.761534984138
745,0.614442487772
64,0.870523224461
688,0.884592555897
623,0.945789916358
289,0.722519927093
174,0.775611906727
690,0.852967113345
105,0.767727022032
427,0.829305936517
48,0.834916274679
14,0.852967113345
657,0.949525215645
301,0.877884179584
455,0.884592555897
579,0.786130149714
722,0.829305936517
98,0.579909888734
491,0.834916274679
303,0.728506803862
466,0.684636724969
65,0.619187834742
300,0.675690849816
9,0.884115227386
622,0.871585101484
323,0.884592555897
289,0.722519927093
568,0.686987604539
290,0.852967113345
156,0.930019025693
464,0.884592555897
426,0.89443691826
306,0.696947871516
4,0.539802921494
12,0.656900940596
187,0.831041849691
406,0.894668389204
96,0.619187834742
509,0.811114214602
733,0.927727845697
548,0.877879850077
478,0.760600258628
501,0.874215054282
127,0.523544016225
199,0.87746758255
299,0.609889570109
162,0.852967113345
235,0.868556221937
23,0.890486390242
473,0.852967113345
487,0.875828515256
683,0.601121379799
303,0.728506803862
309,0.920703327499
569,0.895038482364
34,0.601121379799
686,0.80953478299
84,0.820634452956
733,0.927727845697
537,0.544838099135
181,0.80505723263
453,0.906931557289
67,0.749399442453
161,0.658717853844
307,0.687229531489
703,0.816081616962
181,0.80505723263
246,0.89443691826
316,0.62750396339
278,0.871585101484
346,0.856530601538
545,0.852967113345
419,0.798868742246
694,0.619187834742
622,0.871585101484
663,0.939334541186
262,0.796244686438
461,0.770208422458
373,0.761217669717
233,0.852967113345
466,0.684636724969
207,0.734568734046
263,0.852967113345
16,0.895038482364
513,0.912243254264
449,0.612997074756
429,0.965804434817
701,0.811114214602
632,0.898131241578
529,0.655068116681
245,0.693085361721
344,0.781451928925
353,0.868556221937
241,0.516111020953
633,0.907259531065
624,0.811114214602
726,0.58655666493
189,0.871585101484
138,0.761534984138
402,0.907259531065
511,0.537034222007
590,0.566331897564
334,0.903313369213
447,0.910967032679
119,0.684636724969
389,0.57173405478
644,0.852967113345
423,0.686987604539
131,0.895038482364
405,0.823027677172
82,0.852967113345
643,0.794281263831
156,0.930019025693
617,0.877879850077
574,0.605060856178
272,0.770208422458
613,0.954646712903
545,0.852967113345
685,0.907259531065
570,0.799643166371
537,0.544838099135
691,0.907259531065
85,0.524322981404
483,0.89443691826
455,0.884592555897
93,0.871585101484
744,0.811114214602
33,0.89443691826
321,0.742446670236
523,0.801869041202
426,0.89443691826
196,0.884592555897
301,0.877884179584
103,0.907259531065
224,0.884592555897
454,0.857325655937
585,0.917245130373
154,0.815517786164
